Type,Facility License ID,Facility Name,Street Address,City,State,Zip,Phone Number,County,Inspection Type,Georeferenced Column
Emission Repair Facility,ERF000812,PHILS SERVICE CENTER,695 HOLMDEL RD,HAZLET,NJ,7730,7322643115,MONMOUTH,Auto Inspection and Emission Repair,"695 HOLMDEL RD
HAZLET, NJ 07730
(40.411391, -74.190375)"
Private Inspection Facility,PIF003049,COUTO & SONS INC,69 WILSON AVE,NEWARK,NJ,7105,9735894144,ESSEX,Auto Only,"69 WILSON AVE
NEWARK, NJ 07105
(40.725952, -74.153685)"
Private Inspection Facility,PIF002087,"TONY'S BLVD SERVICE,LLC",547 NEWARK POMPTON TPKE,POMPTON PLAINS,NJ,7444,9738351217,MORRIS,Auto Only,"547 NEWARK POMPTON TPKE
POMPTON PLAINS, NJ 07444
(40.966686, -74.295612)"
Private Inspection Facility,PIF000734,O J TRUCK LUBE INC,20-22 JACOBUS AVE,KEARNY,NJ,7032,9735890114,HUDSON,Diesel Only,"20-22 JACOBUS AVE
KEARNY, NJ 07032
(40.732583, -74.113176)"
Emission Repair Facility,ERF000565,GT JAPANESE AUTOMOTIVE INC,1816 WOODBRIDGE AVE,EDISON,NJ,8817,7329851760,MIDDLESEX,Auto Only,"1816 WOODBRIDGE AVE
EDISON, NJ 08817
(40.501057, -74.410557)"
Private Inspection Facility,PIF010784,TIM'S WEST VIEW SERV ST INC,87 RAILROAD AVE,RIDGEFIELD PRK,NJ,7660,2014409377,BERGEN,Auto Only,"87 RAILROAD AVE
RIDGEFIELD PRK, NJ 07660
(40.86206, -74.030324)"
Emission Repair Facility,ERF003343,DERCO LLC,1820 NORTH OLDEN AVE EXT,EWING,NJ,8638,6098826577,MERCER,Auto Only,"1820 NORTH OLDEN AVE EXT
EWING, NJ 08638
(40.24951, -74.773809)"
State Inspection Facility,CIF000033,MAYS LANDING,1477 19th St.,Mays Landing,NJ,8330,,ATLANTIC,Auto Only,"1477 19th St.
Mays Landing, NJ 08330
(39.440315, -74.699459)"
Private Inspection Facility,PIF001334,WBB INSPECTIONS SERVICES,19  KEARNY AVE 1ST FL,KEARNY,NJ,7032,9733893900,HUDSON,Auto Only,"19  KEARNY AVE 1ST FL
KEARNY, NJ 07032
(40.753091, -74.157057)"
Emission Repair Facility,ERF002735,SALEM COUNTY AUTO REPAIR,37B NORTH HOOK ROAD,PENNSVILLE,NJ,8070,8566784099,SALEM,Auto Only,"37B NORTH HOOK ROAD
PENNSVILLE, NJ 08070
(39.64624, -75.494151)"
Private Inspection Facility,PIF005358,BELLE MEAD GARAGE INC,RT 206 BOX C,BELLE MEAD,NJ,8502,9083598131,SOMERSET,Auto Only,
Private Inspection Facility,PIF000863,MILLER AUTO LEASING CO,1592 RTE 38 PO BX 619,LUMBERTON,NJ,8048,6092652910,BURLINGTON,Diesel Only,"1592 RTE 38 PO BX 619
LUMBERTON, NJ 08048
(39.982172, -74.794498)"
Private Inspection Facility,PIF000993,BELAIR SERVICES,641 TREMONT AVE,ORANGE,NJ,7050,9736763131,ESSEX,Auto Only,"641 TREMONT AVE
ORANGE, NJ 07050
(40.762447, -74.251341)"
Emission Repair Facility,ERF002648,LONG MOTORS COMPANY INC,2931 BRUNSWICK PK,LAWRENCEVILLE,NJ,8648,6098820600,MERCER,Auto Only,"2931 BRUNSWICK PK
LAWRENCEVILLE, NJ 08648
(40.273692, -74.707939)"
Private Inspection Facility,PIF000360,SUPERIOR REPAIRS INC,1137 ROUTE 130,ROBBINSVILLE,NJ,8691,6092080111,MERCER,Auto Only,"1137 ROUTE 130
ROBBINSVILLE, NJ 08691
(40.218972, -74.616508)"
Private Inspection Facility,PIF001219,2 SWIMMING RIVER ROAD INC,2 SWIMMING RIVER ROAD,LINCROFT,NJ,7738,7327473090,MONMOUTH,Auto Only,"2 SWIMMING RIVER ROAD
LINCROFT, NJ 07738
(40.330695, -74.120807)"
Emission Repair Facility,ERF001778,PARKWAY MOTORS OF LEONIA IN,50 SYLVAN AVE,ENGLEWOOD CLFS,NJ,7632,2019443300,BERGEN,Auto Inspection and Emission Repair,"50 SYLVAN AVE
ENGLEWOOD CLFS, NJ 07632
(40.867994, -73.9584)"
Private Inspection Facility,PIF000963,CHARLIE'S AUTO SERVICE LLC,563 CHANCELLOR AVENUE,IRVINGTON,NJ,7111,9733730077,ESSEX,Auto Only,"563 CHANCELLOR AVENUE
IRVINGTON, NJ 07111
(40.714258, -74.231027)"
Private Inspection Facility,PIF008465,FOX MOTORS,329 HARDING HWY,PITTSGROVE,NJ,8318,8563588173,SALEM,Auto Only,"329 HARDING HWY
PITTSGROVE, NJ 08318
(39.597892, -75.145215)"
Emission Repair Facility,ERF003447,DRIVERS TIRE & SRVC CTR LLC,669 STATE RTE 22,WHITEHOUSE STA,NJ,8889,9085341919,HUNTERDON,Auto Inspection and Emission Repair,
Private Inspection Facility,PIF001301,KORUS AUTOMOTIVE LLC,430 BERGEN BLVD,PALASADES PARK,NJ,7650,2019448200,BERGEN,Auto Only,"430 BERGEN BLVD
PALASADES PARK, NJ 07650
(40.845211, -73.986005)"
Private Inspection Facility,PIF001093,CORSEL AUTO SERVICE,397 HALSTEAD STREET,EAST ORANGE,NJ,7018,9735180540,ESSEX,Auto Only,
Emission Repair Facility,ERF003309,MACK AUTO IMPORTS INC,322-346 RTE 37 EAST,TOMS RIVER,NJ,8753,7323497474,OCEAN,Auto Only,"322-346 RTE 37 EAST
TOMS RIVER, NJ 08753
(39.958882, -74.173309)"
Emission Repair Facility,ERF001630,GENTILINI FORD INC,555 JOHN S PENN BLVD,WOODBINE,NJ,8270,6098610100,CAPE MAY,Auto Only,"555 JOHN S PENN BLVD
WOODBINE, NJ 08270
(39.223744, -74.786456)"
Private Inspection Facility,PIF001057,GREEN VILLAGE GARAGE LLC,526 GREEN VILLAGE RD,GREEN VILLAGE,NJ,7935,9733771556,MORRIS,Auto Only,"526 GREEN VILLAGE RD
GREEN VILLAGE, NJ 07935
(40.738904, -74.452348)"
Emission Repair Facility,ERF000009,PALISADE SERVICE INC,73 PALISADE AVE,CLIFFSIDE PARK,NJ,7010,2019431511,BERGEN,Auto Inspection and Emission Repair,"73 PALISADE AVE
CLIFFSIDE PARK, NJ 07010
(40.807459, -73.995452)"
Private Inspection Facility,PIF002575,GEORGE CHURCH INC,183 SOUTH AVE,FANWOOD,NJ,7023,9083223999,UNION,Auto Only,"183 SOUTH AVE
FANWOOD, NJ 07023
(40.638939, -74.386591)"
Private Inspection Facility,PIF000755,46 AUTO REPAIR INC,92 RT 46 WEST,RIDGEFIELD,NJ,7657,2019419288,BERGEN,Diesel Only,"92 RT 46 WEST
RIDGEFIELD, NJ 07657
(40.848771, -74.022545)"
Private Inspection Facility,PIF000079,CENTRAL GETTY INC,768 TONNELLE AVENUE,JERSEY CITY,NJ,7307,2017982080,HUDSON,Auto Only,"768 TONNELLE AVENUE
JERSEY CITY, NJ 07307
(40.756718, -74.054404)"
Private Inspection Facility,PIF000481,KUNDERT MOTOR INC,140 ROUTE 17 NORTH,HASBROUCK HGTS,NJ,7604,2012887117,BERGEN,Auto Only,"140 ROUTE 17 NORTH
HASBROUCK HGTS, NJ 07604
(40.930509, -74.070416)"
Private Inspection Facility,PIF007945,JOHNSON DODGE CHRYSLER INC,481 R 46 & NAUGHRT R POB488,HACKETTSTOWN,NJ,7840,9088508700,WARREN,Auto Only,
Emission Repair Facility,ERF000519,ESSEX GREEN SUNOCO*,480 PROSPECT AVE,W ORANGE,NJ,7052,9733259808,ESSEX,Auto Inspection and Emission Repair,"480 PROSPECT AVE
W ORANGE, NJ 07052
(40.790198, -74.255112)"
State Inspection Facility,CIF000001,DEPTFORD,725 Tanyard Road,Deptford,NJ,8096,,GLOUCESTER,Auto Only,"725 Tanyard Road
Deptford, NJ 08096
(39.82104, -75.140901)"
State Inspection Facility,CIF000023,RAHWAY,1140 Woodbridge Rd & East Hazelwood Ave,Rahway,NJ,7065,,UNION,Auto Only,
Private Inspection Facility,PIF001340,ARCURI TRK & TRL REP INC,1025 E LINDEN AVENUE,LINDEN,NJ,7036,9088623000,UNION,Auto Only,"1025 E LINDEN AVENUE
LINDEN, NJ 07036
(40.640018, -74.239008)"
Emission Repair Facility,ERF003349,OLDWICK VILLAGE GARAGE LLC,"POB279, 30 OLD TURNPIKE RD",OLDWICK,NJ,8858,9084392236,HUNTERDON,Auto Inspection and Emission Repair,
Emission Repair Facility,ERF002770,MARIE JOHN CORP,350 ROUTE 166,S TOMS RIVER,NJ,8757,7322440042,OCEAN,Auto Only,"350 ROUTE 166
S TOMS RIVER, NJ 08757
(39.943411, -74.193939)"
Private Inspection Facility,PIF003604,STILLWELL GARAGE INC,172 JACKSON STREET,MATAWAN,NJ,7747,7325662251,MONMOUTH,Auto Only,"172 JACKSON STREET
MATAWAN, NJ 07747
(40.413178, -74.232036)"
Emission Repair Facility,ERF003043,BOB CREVAUXS WAYNE ATO WRKS,1405 HAMBURG TPKE,WAYNE,NJ,7470,9737091115,PASSAIC,Auto Inspection and Emission Repair,"1405 HAMBURG TPKE
WAYNE, NJ 07470
(40.962894, -74.251647)"
Private Inspection Facility,PIF001131,MILLER AUTO LEASING,285 HIGHLAND CROSS,RUTHERFORD,NJ,7070,2015287293,BERGEN,Diesel Only,"285 HIGHLAND CROSS
RUTHERFORD, NJ 07070
(40.819436, -74.097926)"
Emission Repair Facility,ERF001081,ANTHONYS AUTO REPAIRS INC,878 BROADWAY,W LONG BRANCH,NJ,7764,7322291487,MONMOUTH,Auto Inspection and Emission Repair,"878 BROADWAY
W LONG BRANCH, NJ 07764
(40.298747, -74.011578)"
Private Inspection Facility,PIF004039,CABECAMP ENTERPRISES INC.,364 BROADWAY,NEWARK,NJ,7104,9734852502,ESSEX,Auto Only,"364 BROADWAY
NEWARK, NJ 07104
(40.763358, -74.166794)"
Emission Repair Facility,ERF003453,S & Y AUTO REPAIR LLC,295 LEXINGTON AVE,PASSAIC,NJ,7055,9737797605,PASSAIC,Auto Inspection and Emission Repair,"295 LEXINGTON AVE
PASSAIC, NJ 07055
(40.871802, -74.129302)"
Private Inspection Facility,PIF001859,B & B AUTOMOTIVE REPR INC.,1528 W. BLANCKE ST.,LINDEN,NJ,7036,9088627896,UNION,Auto Only,"1528 W. BLANCKE ST.
LINDEN, NJ 07036
(40.6213, -74.266769)"
Private Inspection Facility,PIF000196,INDUS STAR AUTO LLC,891 GREEN ST,ISELIN,NJ,8830,7326348325,MIDDLESEX,Auto Only,"891 GREEN ST
ISELIN, NJ 08830
(40.566621, -74.307319)"
Private Inspection Facility,PIF000738,ROYAL POINT MANAGEMENT LLC,6 NICHOLAS DR,OLD BRIDGE,NJ,8857,7322519003,MIDDLESEX,Diesel Only,"6 NICHOLAS DR
OLD BRIDGE, NJ 08857
(40.387742, -74.357432)"
Private Inspection Facility,PIF001180,BRIDGEWATER TIRE&MUFFLR SRV,49 OLD YORK ROAD,BRIDGEWATER,NJ,8807,9085268918,SOMERSET,Diesel Only,"49 OLD YORK ROAD
BRIDGEWATER, NJ 08807
(40.559028, -74.653767)"
Private Inspection Facility,PIF009930,SELMONS SERVICE STATION LLC,2231 S OLDEN AVE,HAMILTON,NJ,8610,6095852730,MERCER,Auto Only,"2231 S OLDEN AVE
HAMILTON, NJ 08610
(40.204072, -74.696837)"
Emission Repair Facility,ERF000841,WEST SIDE TIRE & AUTO INC,236 WESTSIDE AVE,JERSEY CITY,NJ,7305,2014335123,HUDSON,Auto Inspection and Emission Repair,
Emission Repair Facility,ERF000669,SHYAM INC,1405 ST GEORGE AVE,COLONIA,NJ,7067,7323829600,MIDDLESEX,Auto Inspection and Emission Repair,"1405 ST GEORGE AVE
COLONIA, NJ 07067
(40.586771, -74.291805)"
Private Inspection Facility,PIF000559,STAR AUTO MALL INC,381-385 EAST 16TH STREET,PATERSON,NJ,7524,9736845800,PASSAIC,Auto Only,"381-385 EAST 16TH STREET
PATERSON, NJ 07524
(40.92506, -74.155365)"
Private Inspection Facility,PIF000674,WALKO AUTOMOTIVE SRV LLC,2122 W CAMPLAIN ROAD,HILLSBOROUGH,NJ,8844,9085266808,SOMERSET,Auto Only,"2122 W CAMPLAIN ROAD
HILLSBOROUGH, NJ 08844
(40.536751, -74.604371)"
Private Inspection Facility,PIF007792,S & P AUTO REPAIR,535 EAST JERSEY STREET,ELIZABETH,NJ,7206,9083529010,UNION,Auto Only,"535 EAST JERSEY STREET
ELIZABETH, NJ 07206
(40.656766, -74.19596)"
Emission Repair Facility,ERF001482,SHANT SUNOCO,462 BROAD AVE,RIDGEFIELD,NJ,7657,2019459671,BERGEN,Auto Inspection and Emission Repair,"462 BROAD AVE
RIDGEFIELD, NJ 07657
(40.829644, -74.010344)"
Emission Repair Facility,ERF002005,JUL INC,14 BROAD ST,EATONTOWN,NJ,7724,7323892224,MONMOUTH,Auto Inspection and Emission Repair,"14 BROAD ST
EATONTOWN, NJ 07724
(40.304801, -74.059417)"
Private Inspection Facility,PIF001277,HUNTER KEYSTONE PTRBILT LP,2320 HIGH HILL ROAD,SWEDESBORO,NJ,8085,8562418890,GLOUCESTER,Diesel Only,"2320 HIGH HILL ROAD
SWEDESBORO, NJ 08085
(39.784481, -75.366681)"
Private Inspection Facility,PIF011722,FRIENDLY AUTO REPAIR INC,528 MAIN ST,ORANGE,NJ,7050,9736741473,ESSEX,Auto Only,"528 MAIN ST
ORANGE, NJ 07050
(40.775465, -74.237003)"
Private Inspection Facility,PIF010592,SELECT TOWING SERV INC,52 WASHINGTON ST,W ORANGE,NJ,7052,9733257898,ESSEX,Auto Only,"52 WASHINGTON ST
W ORANGE, NJ 07052
(40.786385, -74.229104)"
Private Inspection Facility,PIF001163,JJ AUTOMOTIVE II INC,1150 HENDRICKS CAUSEWAY,RIDGEFIELD,NJ,7657,2013131155,BERGEN,Auto Only,"1150 HENDRICKS CAUSEWAY
RIDGEFIELD, NJ 07657
(40.835687, -74.017571)"
Private Inspection Facility,PIF009847,POLK-BURNETT CO INC,99 W MAIN ST,RAMSEY,NJ,7446,2013270110,BERGEN,Auto Only,"99 W MAIN ST
RAMSEY, NJ 07446
(41.05701, -74.145829)"
Private Inspection Facility,PIF010171,BURKE CHE BUI PON CAD GMC I,227 BAYBERRY DR,CAPE MAY CT HO,NJ,8210,6094656000,CAPE MAY,Auto Only,"227 BAYBERRY DR
CAPE MAY CT HO, NJ 08210
(39.082157, -74.814078)"
Emission Repair Facility,ERF002392,RT 94 AUTO LLC,3680 RT 94,HAMBURG,NJ,7419,9738270800,SUSSEX,Auto Inspection and Emission Repair,"3680 RT 94
HAMBURG, NJ 07419
(41.165957, -74.557714)"
State Inspection Facility,CIF000047,SECAUCUS,County Ave. and Secaucus Rd.,Secaucus,NJ,7094,,HUDSON,Auto Only,"County Ave. and Secaucus Rd.
Secaucus, NJ 07094
(40.775673, -74.062073)"
Private Inspection Facility,PIF000695,DONALD D COCUZZA,3145 ROUTE 88,POINT PLEASANT,NJ,8742,7328929494,OCEAN,Auto Only,"3145 ROUTE 88
POINT PLEASANT, NJ 08742
(40.079755, -74.085915)"
Private Inspection Facility,PIF011959,QUALITY MUFFLER PLUS INC,3078 RTE 27 NORTH,KENDALL PK,NJ,8824,7322970500,MIDDLESEX,Auto Only,"3078 RTE 27 NORTH
KENDALL PK, NJ 08824
(40.438143, -74.536667)"
Emission Repair Facility,ERF000026,AUTO SUMSER INC*,7-06 SADDLE RVR RD,FAIRLAWN,NJ,7410,2017977680,BERGEN,Auto Inspection and Emission Repair,"7-06 SADDLE RVR RD
FAIRLAWN, NJ 07410
(40.936514, -74.097784)"
Private Inspection Facility,PIF000913,DIESEL POWER & EQUIPMNT INC,470 AUGUSTUS RD,BRICKTOWN,NJ,8723,2014346066,OCEAN,Diesel Only,"470 AUGUSTUS RD
BRICKTOWN, NJ 08723
(40.047413, -74.096956)"
Private Inspection Facility,PIF003879,MARCZAKS INC,247 CENTRAL AVE,METUCHEN,NJ,8840,7325483187,MIDDLESEX,Auto Only,"247 CENTRAL AVE
METUCHEN, NJ 08840
(40.546156, -74.37023)"
Emission Repair Facility,ERF003229,TARMEG LLC,2555 S MAIN ROAD,VINELAND,NJ,8360,8566915794,CUMBERLAND,Auto Only,"2555 S MAIN ROAD
VINELAND, NJ 08360
(39.44861, -75.013693)"
Emission Repair Facility,ERF000692,CARS R US INC,735 GREEN ST,ISELIN,NJ,8830,7328552277,MIDDLESEX,Auto Inspection and Emission Repair,"735 GREEN ST
ISELIN, NJ 08830
(40.563682, -74.301292)"
Emission Repair Facility,ERF001738,KELLYS AUTOMOTIVE SERVICE I,2470 LEMOINE AVE,FT LEE,NJ,7024,2014616298,BERGEN,Auto Inspection and Emission Repair,"2470 LEMOINE AVE
FT LEE, NJ 07024
(40.864869, -73.961369)"
Private Inspection Facility,PIF001382,NJ DIESEL TRK INSPTN LLC,83 IRONS STREET SUITE 8,TOMS RIVER,NJ,8753,6093490045,OCEAN,Auto Only,"83 IRONS STREET SUITE 8
TOMS RIVER, NJ 08753
(39.950964, -74.202125)"
Emission Repair Facility,ERF002896,BURLINGTON CHEVROLET INC,105 E. ROUTE 130 SOUTH,BURLINGTON,NJ,8016,6093862700,BURLINGTON,Auto Only,"105 E. ROUTE 130 SOUTH
BURLINGTON, NJ 08016
(40.07196, -74.85455)"
Private Inspection Facility,PIF006949,HARTLINE INC,69 RAMAPO VALLEY ROAD,MAHWAH,NJ,7430,2013272159,BERGEN,Auto Only,"69 RAMAPO VALLEY ROAD
MAHWAH, NJ 07430
(41.102686, -74.151427)"
Private Inspection Facility,PIF000925,GREEN AUTO SERVICE LLC,1000 FANNY STREET,ELIZABETH,NJ,7201,9089940700,UNION,Auto and Diesel,"1000 FANNY STREET
ELIZABETH, NJ 07201
(40.679439, -74.19623)"
Emission Repair Facility,ERF003205,NOLAN ENTERPRISES LLC,35 N. MAPLE AVENUE,MARLTON,NJ,8053,8569888200,BURLINGTON,Auto Only,"35 N. MAPLE AVENUE
MARLTON, NJ 08053
(39.899977, -74.922318)"
Private Inspection Facility,PIF000447,A.J.M. SERVICE CENTERS INC,14 PARK PLACE,FLANDERS,NJ,7836,9735840326,MORRIS,Auto Only,"14 PARK PLACE
FLANDERS, NJ 07836
(40.843602, -74.695532)"
Emission Repair Facility,ERF003435,SUNNY BOYS INC,7701 VENTNOR AVE,MARGATE,NJ,8402,6098231133,ATLANTIC,Auto Inspection and Emission Repair,"7701 VENTNOR AVE
MARGATE, NJ 08402
(39.331414, -74.496115)"
Private Inspection Facility,PIF011853,PLATT'S PERFORMANCE PLUS,46 LINCOLN AVE.,JAMESBURG,NJ,8831,7325211978,MIDDLESEX,Auto Only,"46 LINCOLN AVE.
JAMESBURG, NJ 08831
(40.355631, -74.438414)"
Private Inspection Facility,PIF000320,MEDANY AUTO SRV CTR INC,305 MAIN STREET,KEANSBURG,NJ,7734,7324957200,MONMOUTH,Auto Only,"305 MAIN STREET
KEANSBURG, NJ 07734
(40.440786, -74.130133)"
Emission Repair Facility,ERF001958,BETZS AUTO REPAIRS LLC,234 MAIN ST,MADISON,NJ,7924,9733779550,MORRIS,Auto Inspection and Emission Repair,"234 MAIN ST
MADISON, NJ 07924
(40.7525, -74.404816)"
Private Inspection Facility,PIF000540,EURO MOTOR OF GARWOOD INC,1 SOUTH AVE,GARWOOD,NJ,7027,9082321783,UNION,Auto Only,"1 SOUTH AVE
GARWOOD, NJ 07027
(40.652941, -74.314168)"
Private Inspection Facility,PIF008280,GILLETTE AMOCO INC,664 VALLY RD,GILLETTE,NJ,7933,9086476600,MORRIS,Auto Only,"664 VALLY RD
GILLETTE, NJ 07933
(40.673842, -74.466697)"
Emission Repair Facility,ERF001378,TRIVETTS SUNOCO INC,162 MEMORIAL PARKWAY,AT HIGHLANDS,NJ,7716,7322913914,MONMOUTH,Auto Inspection and Emission Repair,"162 MEMORIAL PARKWAY
AT HIGHLANDS, NJ 07716
(40.40421, -74.031255)"
Private Inspection Facility,PIF000255,LIBERTY SUBARU INC,55 KINDERKAMACK ROAD,EMERSON,NJ,7630,2012610900,BERGEN,Auto Only,"55 KINDERKAMACK ROAD
EMERSON, NJ 07630
(40.971791, -74.029039)"
Private Inspection Facility,PIF010520,EVERETT G JOHNSON & SONS IN,2969 MARNE HWY RT 537,MT LAUREL,NJ,8054,8567783535,BURLINGTON,Auto Only,
Private Inspection Facility,PIF001237,D&J TRUCK AND RV REPAIR LLC,2135 STATE ROUTE 31,GLEN GARDNER,NJ,8826,9085742160,HUNTERDON,Auto and Diesel,"2135 STATE ROUTE 31
GLEN GARDNER, NJ 08826
(40.696802, -74.942357)"
Private Inspection Facility,PIF000890,S J LEASING CO,1176 RT 40 PO BX 169,WOODSTOWN,NJ,8098,8567692741,SALEM,Diesel Only,"1176 RT 40 PO BX 169
WOODSTOWN, NJ 08098
(39.64887, -75.308994)"
Private Inspection Facility,PIF002343,JACKS SERVICE,1027-29 SUMMIT A,JERSEY CITY,NJ,7307,2016563321,HUDSON,Auto Only,"1027-29 SUMMIT A
JERSEY CITY, NJ 07307
(40.74969, -74.049883)"
Private Inspection Facility,PIF011180,AMERICAN TIRE&AUTO SRVC LLC,426 B RT 206 SO,HILLSBOROUGH,NJ,8844,9082817500,SOMERSET,Auto Only,"426 B RT 206 SO
HILLSBOROUGH, NJ 08844
(40.504261, -74.643771)"
Private Inspection Facility,PIF011402,MR B'S AUTO SERVICE,2409 FAIRMOUNT AVE,ATLANTIC CITY,NJ,8401,6093452244,ATLANTIC,Auto Only,"2409 FAIRMOUNT AVE
ATLANTIC CITY, NJ 08401
(39.359759, -74.442858)"
Emission Repair Facility,ERF000042,BAYSHORE FORD OF PENNSVILLE,200 SO BROADWAY,PENNSVILLE,NJ,8070,8566783111,SALEM,Auto Only,"200 SO BROADWAY
PENNSVILLE, NJ 08070
(39.644775, -75.518051)"
Private Inspection Facility,PIF001293,SMOKETECH NJ LLC,23 DISBROW RD,MATAWAN,NJ,7747,7324047936,MONMOUTH,Auto Only,"23 DISBROW RD
MATAWAN, NJ 07747
(40.424141, -74.261454)"
Private Inspection Facility,PIF010197,HAINESPORT ENTERPRISES INC,1466 RT 38 POB 449,HAINESPORT,NJ,8036,6092677392,BURLINGTON,Auto Only,"1466 RT 38 POB 449
HAINESPORT, NJ 08036
(39.980533, -74.818634)"
